date,Transaction Type,transactionNumber,Display Name,internalIdVendor,Status By Today,memo,dueDate,Warehouse,locationId,Product Name,Reference Number,productCode,Description,qty,unit,unitPrice,rate,discountLine,Witholding Amount,Company Name,Tax Number,Taxable Amount per Line,Total per line,Discount Amount,Discount %,Tax Rate,taxRateId,Tax Amount,noPo,internLIdPO,amount,grossAmount,Status 
1/3/2022,Purchase Invoice,10056,PT Forisa Nusapersada,668,Paid,Mohon dibayarkan sesuai amount to transfer pada exposure sejumlah Rp504.513.532. karena ada selisih pembulatan sistem,1/3/2022,Sedati,14,**Pop Ice Melon 25g,,POP-0056,,92,Karton,190700,190318.6,0.20%,0,,,17509311.2,17509311.2,0,0,10,5,1750931.12,10020,6422347,17509311.2,19260242.32,10020
1/3/2022,Purchase Invoice,10057,PT Forisa Nusapersada,668,Paid,Mohon dibayarkan sesuai dengan amount to transfer pada exposure sejumlah Rp501.408.950 karena ada selisih pembulatan sistem,1/3/2022,Sedati,14,**Pop Ice Vanilla Latte 25g,,POP-0071,,183,Karton,190700,190318.6,0.20%,0,,,34828303.8,34828303.8,0,0,10,5,3482830.38,10021,6422348,34828303.8,38311134.18,10021
1/3/2022,Purchase Invoice,10057,PT Forisa Nusapersada,668,Paid,Mohon dibayarkan sesuai dengan amount to transfer pada exposure sejumlah Rp501.408.950 karena ada selisih pembulatan sistem,1/3/2022,Sedati,14,**Pop Ice Taro 25g,,POP-0053,,63,Karton,190700,190318.6,0.20%,0,,,11990071.8,11990071.8,0,0,10,5,1199007.18,10021,6422348,11990071.8,13189078.98,10021
1/3/2022,Purchase Invoice,10057,PT Forisa Nusapersada,668,Paid,Mohon dibayarkan sesuai dengan amount to transfer pada exposure sejumlah Rp501.408.950 karena ada selisih pembulatan sistem,1/3/2022,Sedati,14,**Pop Ice Chocolate 25g,,POP-0051,,1029,Karton,190700,190318.6,0.20%,0,,,195837839.4,195837839.4,0,0,10,5,19583783.94,10021,6422348,195837839.4,215421623.3,10021
1/3/2022,Purchase Invoice,10057,PT Forisa Nusapersada,668,Paid,Mohon dibayarkan sesuai dengan amount to transfer pada exposure sejumlah Rp501.408.950 karena ada selisih pembulatan sistem,1/3/2022,Sedati,14,**Pop Ice Cappucino 25g,,POP-0076,,183,Karton,190700,190318.6,0.20%,0,,,34828303.8,34828303.8,0,0,10,5,3482830.38,10021,6422348,34828303.8,38311134.18,10021
1/3/2022,Purchase Invoice,10057,PT Forisa Nusapersada,668,Paid,Mohon dibayarkan sesuai dengan amount to transfer pada exposure sejumlah Rp501.408.950 karena ada selisih pembulatan sistem,1/3/2022,Sedati,14,**Pop Ice Chocolate 25g,,POP-0051,,65,Karton,190700,190318.6,0.20%,0,,,12370709,12370709,0,0,10,5,1237070.9,10021,6422348,12370709,13607779.9,10021
1/3/2022,Purchase Invoice,10057,PT Forisa Nusapersada,668,Paid,Mohon dibayarkan sesuai dengan amount to transfer pada exposure sejumlah Rp501.408.950 karena ada selisih pembulatan sistem,1/3/2022,Sedati,14,**Pop Ice Taro 25g,,POP-0053,,63,Karton,190700,190318.6,0.20%,0,,,11990071.8,11990071.8,0,0,10,5,1199007.18,10021,6422348,11990071.8,13189078.98,10021
1/3/2022,Purchase Invoice,10057,PT Forisa Nusapersada,668,Paid,Mohon dibayarkan sesuai dengan amount to transfer pada exposure sejumlah Rp501.408.950 karena ada selisih pembulatan sistem,1/3/2022,Sedati,14,**Pop Ice Choco Cheese 25g,,POP-0060,,150,Karton,190700,190318.6,0.20%,0,,,28547790,28547790,0,0,10,5,2854779,10021,6422348,28547790,31402569,10021
1/3/2022,Purchase Invoice,10057,PT Forisa Nusapersada,668,Paid,Mohon dibayarkan sesuai dengan amount to transfer pada exposure sejumlah Rp501.408.950 karena ada selisih pembulatan sistem,1/3/2022,Sedati,14,**Pop Ice Permen Karet 25g,,POP-0063,,137,Karton,190700,190318.6,0.20%,0,,,26073648.2,26073648.2,0,0,10,5,2607364.82,10021,6422348,26073648.2,28681013.02,10021
1/3/2022,Purchase Invoice,10057,PT Forisa Nusapersada,668,Paid,Mohon dibayarkan sesuai dengan amount to transfer pada exposure sejumlah Rp501.408.950 karena ada selisih pembulatan sistem,1/3/2022,Sedati,14,**Pop Ice Vanilla Blue 25g,,POP-0061,,70,Karton,190700,190318.6,0.20%,0,,,13322302,13322302,0,0,10,5,1332230.2,10021,6422348,13322302,14654532.2,10021
1/3/2022,Purchase Invoice,10057,PT Forisa Nusapersada,668,Paid,Mohon dibayarkan sesuai dengan amount to transfer pada exposure sejumlah Rp501.408.950 karena ada selisih pembulatan sistem,1/3/2022,Sedati,14,**Pop Ice Lychee 25g,,POP-0073,,37,Karton,190700,190318.6,0.20%,0,,,7041788.2,7041788.2,0,0,10,5,704178.82,10021,6422348,7041788.2,7745967.02,10021
