date,Transaction Type,transactionNumber,Display Name,internalIdVendor,Status By Today,memo,dueDate,Warehouse,locationId,Product Name,Reference Number,productCode,Description,qty,unit,unitPrice,rate,discountLine,Witholding Amount,Company Name,Tax Number,Taxable Amount per Line,Total per line,Discount Amount,Discount %,Tax Rate,taxRateId,Tax Amount,noPo,internLIdPO,amount,grossAmount,Status 
14/03/2022,Purchase Invoice,10080,PT Forisa Nusapersada,668,Overdue,Dibayarkan sesuai dengan lampiran nota. amount to transfer Rp634.541.739,14/03/2022,Sedati,14,**Pop Ice Melon 25g,,POP-0056,,1,Karton,190700,190318.6,0.20%,0,,,190318.6,190318.6,0,0,10,5,19031.86,10017,6422345,190318.6,209350.46,10017
14/03/2022,Purchase Invoice,10081,PT Forisa Nusapersada,668,Paid,Mohon dibayarkan sesuai amount to transfer sejumlah Rp857.340.768 karena ada selisih pembulatan sistem,14/03/2022,Sedati,14,**Pop Ice Blueberry 25g,,POP-0065,,37,Karton,190700,190318.6,0.20%,0,,,7041788.2,7041788.2,0,0,10,5,704178.82,10022,6422051,7041788.2,7745967.02,10022
14/03/2022,Purchase Invoice,10081,PT Forisa Nusapersada,668,Paid,Mohon dibayarkan sesuai amount to transfer sejumlah Rp857.340.768 karena ada selisih pembulatan sistem,14/03/2022,Sedati,14,**Pop Ice Lychee 25g,,POP-0073,,63,Karton,190700,190318.6,0.20%,0,,,11990071.8,11990071.8,0,0,10,5,1199007.18,10022,6422051,11990071.8,13189078.98,10022
14/03/2022,Purchase Invoice,10081,PT Forisa Nusapersada,668,Paid,Mohon dibayarkan sesuai amount to transfer sejumlah Rp857.340.768 karena ada selisih pembulatan sistem,14/03/2022,Sedati,14,**Pop Ice Choco Cream 25g,,POP-0068,,211,Karton,190700,190318.6,0.20%,0,,,40157224.6,40157224.6,0,0,10,5,4015722.46,10022,6422051,40157224.6,44172947.06,10022
14/03/2022,Purchase Invoice,10081,PT Forisa Nusapersada,668,Paid,Mohon dibayarkan sesuai amount to transfer sejumlah Rp857.340.768 karena ada selisih pembulatan sistem,14/03/2022,Sedati,14,**Pop Ice Durian 25g,,POP-0066,,63,Karton,190700,190318.6,0.20%,0,,,11990071.8,11990071.8,0,0,10,5,1199007.18,10022,6422051,11990071.8,13189078.98,10022
14/03/2022,Purchase Invoice,10081,PT Forisa Nusapersada,668,Paid,Mohon dibayarkan sesuai amount to transfer sejumlah Rp857.340.768 karena ada selisih pembulatan sistem,14/03/2022,Sedati,14,**Pop Ice Mango 25g,,POP-0057,,99,Karton,190700,190318.6,0.20%,0,,,18841541.4,18841541.4,0,0,10,5,1884154.14,10022,6422051,18841541.4,20725695.54,10022
16/03/2022,Purchase Invoice,10069,PT Forisa Nusapersada,668,Paid,,16/03/2022,Sedati,14,**Nutrijell Ekonomis Kurma Ajwa 10g,,NJL-0049,,50,Karton,176730,176376.54,0.20%,0,,,8818827,8818827,0,0,10,5,881882.7,10024,6422053,8818827,9700709.7,10024
16/03/2022,Purchase Invoice,10069,PT Forisa Nusapersada,668,Paid,,16/03/2022,Sedati,14,**Nutrijell Ekonomis Kurma Ajwa 10g,,NJL-0049,,40,Karton,176730,176376.54,0.20%,0,,,7055061.6,7055061.6,0,0,10,5,705506.16,10024,6422053,7055061.6,7760567.76,10024
16/03/2022,Purchase Invoice,10070,PT Forisa Nusapersada,668,Paid,,16/03/2022,Sedati,14,**Silky Pudding Avocado 155g,,SPD-0002,,30,Karton,112440,112215.12,0.20%,0,,,3366453.6,3366453.6,0,0,10,5,336645.36,10024,6422053,3366453.6,3703098.96,10024
16/03/2022,Purchase Invoice,10070,PT Forisa Nusapersada,668,Paid,,16/03/2022,Sedati,14,**Silky Pudding Gummy 155g,,SPD-0003,,30,Karton,112440,112215.12,0.20%,0,,,3366453.6,3366453.6,0,0,10,5,336645.36,10024,6422053,3366453.6,3703098.96,10024
16/03/2022,Purchase Invoice,10070,PT Forisa Nusapersada,668,Paid,,16/03/2022,Sedati,14,**Nutrijell Jeruk 15g,,NJL-0029,,20,Karton,463529,462601.94,0.20%,0,,,9252038.84,9252038.84,0,0,10,5,925203.88,10024,6422053,9252038.84,10177242.72,10024
16/03/2022,Purchase Invoice,10070,PT Forisa Nusapersada,668,Paid,,16/03/2022,Sedati,14,**Nutrijell Anggur 15g,,NJL-0024,,35,Karton,463529,462601.94,0.20%,0,,,16191067.97,16191067.97,0,0,10,5,1619106.8,10024,6422053,16191067.97,17810174.77,10024
16/03/2022,Purchase Invoice,10071,PT Forisa Nusapersada,668,Paid,,16/03/2022,Sedati,14,**Nutrijell Ekonomis Plain 10g,,NJL-0040,,50,Karton,176730,176376.54,0.20%,0,,,8818827,8818827,0,0,10,5,881882.7,10023,6422052,8818827,9700709.7,10023
16/03/2022,Purchase Invoice,10071,PT Forisa Nusapersada,668,Paid,,16/03/2022,Sedati,14,**Agarasa Strawberry 10g - Inner Box,,AGR-0005,,12,Karton,160776,160454.45,0.20%,0,,,1925453.38,1925453.38,0,0,10,5,192545.34,10023,6422052,1925453.376,2117998.714,10023
16/03/2022,Purchase Invoice,10071,PT Forisa Nusapersada,668,Paid,,16/03/2022,Sedati,14,**Nutrijell Pudding Susu Caramel 130g,,NJL-0013,,5,Karton,228200,227743.6,0.20%,0,,,1138718,1138718,0,0,10,5,113871.8,10023,6422052,1138718,1252589.8,10023
16/03/2022,Purchase Invoice,10072,PT Forisa Nusapersada,668,Paid,,16/03/2022,Sedati,14,**Anget Sari Wedang Jahe 24g,,ASR-0002,,102,Karton,171700,171356.6,0.20%,0,,,17478373.2,17478373.2,0,0,10,5,1747837.32,10024,6422053,17478373.2,19226210.52,10024
16/03/2022,Purchase Invoice,10073,PT Forisa Nusapersada,668,Paid,,16/03/2022,Sedati,14,**Pop Ice Chocolate 25g,,POP-0051,,63,Karton,190700,190318.6,0.20%,0,,,11990071.8,11990071.8,0,0,10,5,1199007.18,10024,6422053,11990071.8,13189078.98,10024
16/03/2022,Purchase Invoice,10073,PT Forisa Nusapersada,668,Paid,,16/03/2022,Sedati,14,**Pop Ice Mango 25g,,POP-0057,,63,Karton,190700,190318.6,0.20%,0,,,11990071.8,11990071.8,0,0,10,5,1199007.18,10024,6422053,11990071.8,13189078.98,10024
16/03/2022,Purchase Invoice,10073,PT Forisa Nusapersada,668,Paid,,16/03/2022,Sedati,14,**Pop Ice Mango 25g,,POP-0057,,153,Karton,190700,190318.6,0.20%,0,,,29118745.8,29118745.8,0,0,10,5,2911874.58,10024,6422053,29118745.8,32030620.38,10024
16/03/2022,Purchase Invoice,10073,PT Forisa Nusapersada,668,Paid,,16/03/2022,Sedati,14,**Pop Ice Coklat Biskuit 25g,,POP-0059,,315,Karton,190700,190318.6,0.20%,0,,,59950359,59950359,0,0,10,5,5995035.9,10024,6422053,59950359,65945394.9,10024
