date,Transaction Type,transactionNumber,Display Name,internalIdVendor,Status By Today,memo,dueDate,Warehouse,locationId,Product Name,Reference Number,productCode,Description,qty,unit,unitPrice,rate,discountLine,Witholding Amount,Company Name,Tax Number,Taxable Amount per Line,Total per line,Discount Amount,Discount %,Tax Rate,taxRateId,Tax Amount,noPo,internLIdPO,amount,grossAmount,Status 
8/3/2022,Purchase Invoice,10084,PT Forisa Nusapersada,668,Paid,Mohon dibayarkan sesuai amount to transfer sejumlah Rp857.340.768 karena ada selisih pembulatan sistem,8/3/2022,Sedati,14,**Pop Ice Tornado Squash 25g,,POP-0054,,63,Karton,190700,190318.6,0.20%,0,,,11990071.8,11990071.8,0,0,10,5,1199007.18,10022,6422051,11990071.8,13189078.98,10022
8/3/2022,Purchase Invoice,10084,PT Forisa Nusapersada,668,Paid,Mohon dibayarkan sesuai amount to transfer sejumlah Rp857.340.768 karena ada selisih pembulatan sistem,8/3/2022,Sedati,14,**Nutrijell Ekonomis Kelapa Muda 10g,,NJL-0032,,200,Karton,176730,176376.54,0.20%,0,,,35275308,35275308,0,0,10,5,3527530.8,10022,6422051,35275308,38802838.8,10022
8/3/2022,Purchase Invoice,10084,PT Forisa Nusapersada,668,Paid,Mohon dibayarkan sesuai amount to transfer sejumlah Rp857.340.768 karena ada selisih pembulatan sistem,8/3/2022,Sedati,14,**Nutrijell Pudding Susu Belgian Chocolate 145g,,NJL-0045,,30,Karton,228200,227743.6,0.20%,0,,,6832308,6832308,0,0,10,5,683230.8,10022,6422051,6832308,7515538.8,10022
8/3/2022,Purchase Invoice,10084,PT Forisa Nusapersada,668,Paid,Mohon dibayarkan sesuai amount to transfer sejumlah Rp857.340.768 karena ada selisih pembulatan sistem,8/3/2022,Sedati,14,**Pop Ice Tornado Squash 25g,,POP-0054,,87,Karton,190700,190318.6,0.20%,0,,,16557718.2,16557718.2,0,0,10,5,1655771.82,10022,6422051,16557718.2,18213490.02,10022
8/3/2022,Purchase Invoice,10085,PT Forisa Nusapersada,668,Paid,Mohon dibayarkan sesuai amount to transfer sejumlah Rp857.340.768 karena ada selisih pembulatan sistem,8/3/2022,Sedati,14,**Anget Sari Wedang Jahe 24g,,ASR-0002,,48,Karton,171700,171356.6,0.20%,0,,,8225116.8,8225116.8,0,0,10,5,822511.68,10022,6422051,8225116.8,9047628.48,10022
8/3/2022,Purchase Invoice,10085,PT Forisa Nusapersada,668,Paid,Mohon dibayarkan sesuai amount to transfer sejumlah Rp857.340.768 karena ada selisih pembulatan sistem,8/3/2022,Sedati,14,**Anget Sari Susu Jahe 25g,,ASR-0001,,120,Karton,178730,178372.54,0.20%,0,,,21404704.8,21404704.8,0,0,10,5,2140470.48,10022,6422051,21404704.8,23545175.28,10022
14/03/2022,Purchase Invoice,10075,PT Forisa Nusapersada,668,Paid,,14/03/2022,Sedati,14,**Nutrijell Kurma Ajwa 15g,,NJL-0048,,30,Karton,463529,462601.94,0.20%,0,,,13878058.26,13878058.26,0,0,10,5,1387805.83,10023,6422052,13878058.26,15265864.09,10023
14/03/2022,Purchase Invoice,10076,PT Forisa Nusapersada,668,Paid,,14/03/2022,Sedati,14,**Silky Pudding Chocolate 155g,,SPD-0005,,30,Karton,112440,112215.12,0.20%,0,,,3366453.6,3366453.6,0,0,10,5,336645.36,10023,6422052,3366453.6,3703098.96,10023
14/03/2022,Purchase Invoice,10076,PT Forisa Nusapersada,668,Paid,,14/03/2022,Sedati,14,**Silky Pudding Peach 155g,,SPD-0001,,10,Karton,112440,112215.12,0.20%,0,,,1122151.2,1122151.2,0,0,10,5,112215.12,10023,6422052,1122151.2,1234366.32,10023
14/03/2022,Purchase Invoice,10076,PT Forisa Nusapersada,668,Paid,,14/03/2022,Sedati,14,**Nutrijell Leci 15g,,NJL-0027,,100,Karton,463529,462601.94,0.20%,0,,,46260194.2,46260194.2,0,0,10,5,4626019.42,10023,6422052,46260194.2,50886213.62,10023
